Code;Identification;Code de l'instrument lié;Ident. de l'instrument lié;Valeur nominale;Unité;Désignation;Type de relation;Commentaire;Étalonné;Groupe;N° de voie
PLAST-60;CFEP0183;PLAST-60;CLAB0164;;;;;;1;/;
PLAST-60;CFEP0184;PLAST-60;CLAB0077;;;;;;1;/;
PLAST-60;CFEP0184;PLAST-60;CLAB0164;;;;;;1;/;
PLAST-60;CFEP0199;PLAST-60;CLAB0076;;;;;;1;/;
PLAST-60;CFEP0199;PLAST-60;CLAB0150;;;;;;1;/;
PLAST-60;CFEP0221;PLAST-60;CFEP0048;;;;;;1;/;
PLAST-60;CFEP0222;PLAST-60;CFEP0048;;;;;;1;/;
PLAST-60;CFEP0233;PLAST-60;CFEP0293;;;;;;1;/;
PLAST-60;CFEP0234;PLAST-60;CFEP0282;;;;;;1;/;
PLAST-60;CFEP0235;PLAST-60;CFEP0290;;;;;;1;/;
PLAST-60;CFEP0236;PLAST-60;CFEP0294;;;;;;1;/;
PLAST-60;CFEP0237;PLAST-60;CFEP0284;;;;;;1;/;
PLAST-60;CFEP0239;PLAST-60;CFEP0288;;;;;;1;/;
PLAST-60;CFEP0240;PLAST-60;CFEP0302;;;;;;1;/;
PLAST-60;CFEP0241;PLAST-60;CFEP0295;;;;;;1;/;
PLAST-60;CFEP0242;PLAST-60;CFEP0289;;;;;;1;/;
PLAST-60;CFEP0243;PLAST-60;CFEP0296;;;;;;1;/;
PLAST-60;CFEP0245;PLAST-60;CFEP0292;;;;;;1;/;
PLAST-60;CFEP0246;PLAST-60;CFEP0291;;;;;;1;/;
PLAST-60;CFEP0247;PLAST-60;CFEP0283;;;;;;1;/;
PLAST-60;CFEP0248;PLAST-60;CFEP0287;;;;;;1;/;
PLAST-60;CFEP0257;PLAST-60;CLAB0150;;;;Non spécifié;;1;/;
PLAST-60;CFEP0257;PLAST-60;CLAB0163;;;;Non spécifié;;1;/;
PLAST-60;CFEP0258;PLAST-60;CLAB0150;;;;Non spécifié;;1;/;
PLAST-60;CFEP0258;PLAST-60;CLAB0163;;;;Non spécifié;;1;/;
PLAST-60;CFEP0259;PLAST-60;CLAB0253;;;;;;1;/;
PLAST-60;CFEP0260;PLAST-60;CLAB0056;;;;;;1;/;
PLAST-60;CFEP0260;PLAST-60;CLAB0080;;;;;;1;/;
PLAST-60;CFEP0261;PLAST-60;CLAB0056;;;;;;1;/;
PLAST-60;CFEP0261;PLAST-60;CLAB0080;;;;;;1;/;
PLAST-60;CFEP0262;PLAST-60;CLAB0311;;;;Non spécifié;;1;/;
PLAST-60;CFEP0263;PLAST-60;CLAB0311;;;;Non spécifié;;1;/;
PLAST-60;CFEP0264;PLAST-60;CLAB0283;;;;Non spécifié;;1;/;
PLAST-60;CFEP0264;PLAST-60;CLAB1022;;;;Non spécifié;;1;/;
PLAST-60;CFEP0266-D;PLAST-60;CLAB0311;;;;;;1;/;
PLAST-60;CFEP0267-D;PLAST-60;CLAB0311;;;;;;1;/;
PLAST-60;CFEP0268-E;PLAST-60;CLAB0311;;;;;;1;/;
PLAST-60;CFEP0269;PLAST-60;CLAB0167;;;;;;1;/;
PLAST-60;CFEP0269;PLAST-60;CLAB1022;;;;;;1;/;
PLAST-60;CFEP0271;PLAST-60;CLAB0253;;;;Non spécifié;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D01;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D02;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D03;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D04;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D05;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D06;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D07;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D08;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D09;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D10;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D11;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D12;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D13;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D14;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D15;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D16;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D17;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D18;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D19;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D20;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D21;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D22;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D23;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D24;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D25;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D26;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D27;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D28;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D29;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-D30;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-P01;;;;;;1;/;
PLAST-60;CFEP0272;PLAST-60;CFEP0272-P02;;;;;;1;/;
